                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 3.1492,                 4.0899,                  3.106,                0.00496,                0.19846,                0.00341,                0.00104,                 3.1143,                 4.3235,                 3.1494,             0.00061079,             0.00061079,             0.00061079
                     50,                 3.2167,                 4.1354,                 3.1745,                0.00073,                0.18387,                0.00144,                0.00047,                 3.1123,                 4.3675,                  3.115,             0.00058878,             0.00058878,             0.00058878
                     51,                 3.2673,                   4.14,                 3.1568,                0.01643,                0.21782,                0.01139,                0.00342,                 3.0999,                 4.3399,                 3.0958,             0.00056678,             0.00056678,             0.00056678
                     52,                 3.3214,                 4.0953,                 3.1643,                0.00544,                0.21782,                0.00441,                 0.0011,                 3.1302,                  4.287,                 3.1143,             0.00054478,             0.00054478,             0.00054478
                     53,                 3.1667,                 4.1468,                 3.0857,                0.00414,                0.22273,                 0.0042,                0.00133,                   3.09,                  4.264,                 3.1092,             0.00052277,             0.00052277,             0.00052277
                     54,                 3.1828,                 4.0682,                 3.1333,                 0.0026,                0.24223,                0.00391,                0.00109,                 3.0685,                 4.2406,                 3.1092,             0.00050077,             0.00050077,             0.00050077
                     55,                 3.2539,                 4.1433,                 3.1239,                0.00205,                0.25513,                0.00413,                0.00127,                 3.0774,                 4.2212,                 3.1095,             0.00047876,             0.00047876,             0.00047876
                     56,                 3.1921,                 4.1029,                  3.027,                0.00156,                0.22595,                0.00441,                0.00142,                 3.0791,                 4.2086,                 3.1114,             0.00045676,             0.00045676,             0.00045676
                     57,                 3.2257,                  4.094,                 3.0451,                0.00158,                0.22918,                0.00445,                0.00143,                 3.0869,                 4.2247,                 3.1002,             0.00043475,             0.00043475,             0.00043475
                     58,                 3.2139,                 4.0998,                 3.1056,                0.00156,                 0.2324,                0.00471,                0.00159,                 3.0931,                 4.2354,                 3.0899,             0.00041275,             0.00041275,             0.00041275
                     59,                 3.2696,                 4.1663,                 3.0013,                0.00165,                 0.2195,                0.00543,                0.00182,                 3.0892,                  4.255,                 3.0858,             0.00039074,             0.00039074,             0.00039074
                     60,                 3.2083,                 3.9975,                 3.0157,                0.00172,                0.22918,                0.00697,                0.00191,                 3.0853,                 4.2601,                 3.0843,             0.00036874,             0.00036874,             0.00036874
                     61,                 3.1712,                 4.0393,                 3.1175,                 0.0012,                0.21136,                0.00666,                0.00199,                 3.0713,                 4.2453,                  3.081,             0.00034674,             0.00034674,             0.00034674
                     62,                 3.1561,                 4.1557,                 3.0389,                0.00155,                0.22595,                0.00687,                0.00214,                 3.0662,                 4.2169,                 3.0825,             0.00032473,             0.00032473,             0.00032473
                     63,                 3.1982,                 4.0987,                 3.0581,                0.00146,                0.22595,                0.00568,                0.00196,                 3.0526,                 4.1824,                 3.0683,             0.00030273,             0.00030273,             0.00030273
                     64,                 3.2097,                 4.0601,                  3.052,                 0.0014,                0.23886,                 0.0071,                0.00266,                 3.0217,                 4.1566,                  3.057,             0.00028072,             0.00028072,             0.00028072
                     65,                 3.1454,                 4.0051,                  3.002,                0.00188,                0.26481,                0.00761,                0.00274,                 3.0165,                 4.1552,                 3.0516,             0.00025872,             0.00025872,             0.00025872
